,name,phone,price_range,year_in_business,amenities,categories,city_name,city_code,zip_code,updated_at,open_status,website,order_online,rating,rating_count,rating,rating_count,rating
0,Dinah_s Family Restaurant,(310) 645-0456,2.0,32.0,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol']","['Restaurants', 'Family Style Restaurants', 'Caterers']",Los Angeles,CA,90045.0,2023-05-16 03:13:26.423282,OPEN NOW,,Order Online,4.0,32.0,4.0,283.0,6.71
1,Canele,(323) 666-7133,2.0,11.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'French Restaurants', 'American Restaurants']",Los Angeles,CA,90039.0,2023-05-16 03:13:26.434956,CLOSED NOW,http://www.canele-la.com,Order Online,4.0,11.0,,,
2,Aki Restaurant,(310) 479-8406,2.0,,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Japanese Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90025.0,2023-05-16 03:13:26.731413,CLOSED NOW,,Order Online,4.0,,4.5,9.0,7.63
3,Casa Bianca Pizza Pie,(323) 256-9617,2.0,68.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations', 'Good for families']","['Restaurants', 'Pizza', 'Italian Restaurants']",Los Angeles,CA,90041.0,2023-05-16 03:13:26.377113,,http://www.casabiancapizza.com,,4.5,68.0,4.5,107.0,8.08
4,Rocco_s Italian Kitchen,(323) 655-0058,1.0,22.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations', 'Good for families']","['Restaurants', 'Pizza', 'Italian Restaurants']",Los Angeles,CA,90048.0,2023-05-16 03:13:26.688662,OPEN NOW,http://www.roccospizza.la,Order Online,4.5,22.0,4.5,63.0,7.43
5,Palermo Ristorante Italiano,(323) 663-1178,1.0,44.0,['Wheelchair accessible'],"['Restaurants', 'Pizza', 'Italian Restaurants']",Los Angeles,CA,90027.0,2023-05-16 03:13:26.364383,,http://palermorestaurant.net,Order Online,4.5,44.0,4.5,134.0,8.19
6,Dulan Soul Food Kitchen,(323) 418-8527,2.0,28.0,"['Offers outdoor seating', 'Wheelchair accessible']","['Restaurants', 'Soul Food Restaurants', 'American Restaurants']",Los Angeles,CA,90047.0,2023-05-16 03:13:26.400778,OPEN NOW,http://www.dulans-sfk.com,,3.5,28.0,,,8.13
7,Marouch Restaurant,(323) 662-9325,2.0,,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Middle Eastern Restaurants', 'Mediterranean Restaurants']",Los Angeles,CA,90029.0,2023-05-16 03:13:26.518800,CLOSED NOW,http://www.marouchrestaurant.com,Order Online,4.5,,4.5,44.0,8.49
8,El Ranchito,(818) 833-8363,,,,['Restaurants'],Sylmar,CA,91342.0,2023-05-16 03:07:29.414949,OPEN NOW,,Order Online,,,,,
9,The Boiling Crab,(213) 389-2722,2.0,23.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Seafood Restaurants', 'Fish & Seafood Markets']",Los Angeles,CA,90010.0,2023-05-16 03:13:26.624198,OPEN NOW,http://www.theboilingcrab.com,Order Online,4.0,23.0,4.5,267.0,8.23
10,Tacos Baja,(323) 887-1980,1.0,,,"['Restaurants', 'Mexican Restaurants', 'Seafood Restaurants']",Los Angeles,CA,90022.0,2023-05-16 03:13:26.446261,OPEN NOW,http://www.lataco.com/taco/tacos-baja-ensenada-east-los-angeles,Order Online,4.5,,4.5,10.0,8.25
